geo,sync,sync_excovid,sync_lo95,sync_hi95,p_bottom5,sync_ea21,sync_s1,n_months
LT,0.56,0.451,0.317,0.656,0,0.809,0.912,120
IT,0.538,0.402,0.385,0.63,0,0.881,0.947,120
PT,0.51,0.308,0.313,0.615,0,0.728,0.947,120
FR,0.51,0.463,0.311,0.596,0,0.882,0.919,120
SK,0.49,0.385,0.29,0.566,0,0.682,0.949,120
SI,0.482,0.351,0.257,0.563,0,0.655,0.953,120
BG,0.461,0.282,0.214,0.557,0.002,0.671,0.949,120
CZ,0.453,0.437,0.313,0.588,0,0.675,0.94,120
NL,0.445,0.451,0.278,0.547,0,0.652,0.94,120
MT,0.433,0.136,0.127,0.557,0.002,0.537,0.943,120
HR,0.422,0.105,0.068,0.568,0.012,0.576,0.952,120
HU,0.422,0.457,0.244,0.543,0.008,0.537,0.937,120
PL,0.422,0.28,0.202,0.592,0,0.642,0.945,120
AT,0.421,0.374,0.271,0.544,0,0.821,0.953,120
ES,0.419,0.056,0.046,0.592,0.004,0.74,0.95,120
RS,0.414,0.365,0.196,0.528,0,0.603,0.938,120
EE,0.414,0.473,0.293,0.557,0.002,0.637,0.944,120
RO,0.402,0.206,0.104,0.578,0.01,0.526,0.841,120
EL,0.394,0.202,0.14,0.546,0,0.613,0.916,120
CH,0.377,0.245,0.144,0.487,0.002,0.755,0.901,120
CY,0.324,0.001,-0.051,0.548,0.118,0.546,0.931,120
BE,0.321,0.345,0.153,0.493,0.022,0.689,0.914,120
MK,0.3,0.173,0.098,0.46,0.024,0.379,0.914,120
AL,0.299,-0.027,-0.068,0.503,0.09,0.574,0.919,120
DE,0.292,0.514,0.159,0.493,0.048,0.581,0.94,120
BA,0.261,-0.104,-0.248,0.543,0.248,0.335,NA,113
FI,0.239,0.354,-0.021,0.485,0.296,0.39,0.931,120
LV,0.207,0.394,0.065,0.497,0.358,0.37,0.952,120
DK,0.172,0.21,0.002,0.357,0.496,0.435,0.906,120
ME,0.168,-0.048,-0.156,0.292,0.616,0.163,0.917,120
LU,0.017,-0.04,-0.135,0.156,0.972,0.068,0.91,120
TR,-0.033,-0.328,-0.338,0.354,0.79,0.16,0.559,120
NO,-0.072,0.241,-0.237,0.273,0.88,0.101,0.795,120
