geo,category,target_month,actual,recorded_on,data_slug
AL,G47,2026-03-01,130.2,2026-08-02,aug-2026
AL,G47,2026-04-01,120.3,2026-08-02,aug-2026
AL,G47,2026-05-01,122.4,2026-08-02,aug-2026
AL,G474,2026-03-01,118.3,2026-08-02,aug-2026
AL,G475,2026-03-01,123.2,2026-08-02,aug-2026
AL,G476,2026-03-01,104,2026-08-02,aug-2026
AL,G47_FOOD,2026-03-01,127.5,2026-08-02,aug-2026
AL,G47_FOOD,2026-04-01,116.2,2026-08-02,aug-2026
AL,G47_FOOD,2026-05-01,119.5,2026-08-02,aug-2026
AL,G47_NFOOD_X_G473,2026-03-01,129.2,2026-08-02,aug-2026
AL,G47_NFOOD_X_G473,2026-04-01,118,2026-08-02,aug-2026
AL,G47_NFOOD_X_G473,2026-05-01,120.6,2026-08-02,aug-2026
AT,G474,2026-04-01,101.7,2026-08-02,aug-2026
AT,G474,2026-05-01,98.4,2026-08-02,aug-2026
AT,G475,2026-04-01,78.7,2026-08-02,aug-2026
AT,G475,2026-05-01,79.7,2026-08-02,aug-2026
AT,G476,2026-04-01,101.7,2026-08-02,aug-2026
AT,G476,2026-05-01,100.4,2026-08-02,aug-2026
AT,G477,2026-04-01,103.9,2026-08-02,aug-2026
AT,G477,2026-05-01,106.3,2026-08-02,aug-2026
AT,G479,2026-04-01,84.6,2026-08-02,aug-2026
AT,G479,2026-05-01,86.2,2026-08-02,aug-2026
AT,G47_FOOD,2026-04-01,99,2026-08-02,aug-2026
AT,G47_FOOD,2026-05-01,100.2,2026-08-02,aug-2026
AT,G47_NFOOD_X_G473,2026-04-01,96.3,2026-08-02,aug-2026
AT,G47_NFOOD_X_G473,2026-05-01,97.1,2026-08-02,aug-2026
BE,G47,2026-04-01,93.4,2026-08-02,aug-2026
BE,G47,2026-05-01,92.7,2026-08-02,aug-2026
BE,G47,2026-06-01,93.4,2026-08-02,aug-2026
BE,G474,2026-04-01,137.6,2026-08-02,aug-2026
BE,G474,2026-05-01,137.7,2026-08-02,aug-2026
BE,G474,2026-06-01,138.4,2026-08-02,aug-2026
BE,G475,2026-04-01,85.5,2026-08-02,aug-2026
BE,G475,2026-05-01,85.8,2026-08-02,aug-2026
