method,category,horizon,n,mae,rmse,mae_pct,cov50,cov80,mean_w80,mean_is80,base_mae,base_rmse,skill_rmse
rw_v1,G47,1,33,1.978,3.019,1.668,0.364,0.606,4.323,11.602,1.848,2.664,-0.133
rw_v1,G47,2,33,2.312,3.248,1.956,0.333,0.667,5.4,10.781,1.815,2.597,-0.251
rw_v1,G47,3,28,1.939,2.861,1.649,0.5,0.786,6.374,11.209,1.854,2.559,-0.118
rw_v1,G47,NA,94,2.083,3.056,1.763,0.394,0.681,5.312,11.197,1.838,2.61,-0.171
rw_v1,G474,1,20,3.657,4.67,3.1,0.35,0.7,11.814,19.775,3.98,4.849,0.037
rw_v1,G474,2,19,5.217,8.606,4.503,0.474,0.684,12.485,31.786,5.658,9.13,0.057
rw_v1,G474,3,11,6.839,8.41,4.758,0.455,0.636,16.349,32.561,8,10.241,0.179
rw_v1,G474,NA,50,4.95,7.24,3.998,0.42,0.68,13.067,27.152,5.502,8.01,0.096
rw_v1,G475,1,20,1.72,2.984,1.731,0.6,0.8,6.053,11.267,1.78,3.019,0.012
rw_v1,G475,2,19,1.591,2.518,1.638,0.632,0.842,7.607,9.09,1.558,2.474,-0.018
rw_v1,G475,3,11,2.519,2.858,2.712,0.182,0.909,9.76,10.413,2.845,3.145,0.091
rw_v1,G475,NA,50,1.847,2.787,1.911,0.52,0.84,7.459,10.252,1.93,2.854,0.023
rw_v1,G476,1,20,2.191,2.924,1.945,0.6,0.9,9.771,10.656,2.26,2.919,-0.002
rw_v1,G476,2,19,3.102,4.009,2.883,0.526,0.789,10.995,13.917,2.963,3.911,-0.025
rw_v1,G476,3,11,2.108,2.338,1.796,0.636,1,13.609,13.609,2.482,3.468,0.326
rw_v1,G476,NA,50,2.519,3.276,2.269,0.58,0.88,11.081,12.545,2.576,3.445,0.049
rw_v1,G477,1,19,2.822,4.844,2.017,0.474,0.737,6.26,16.149,3.021,5.279,0.083
rw_v1,G477,2,19,1.981,3.564,1.566,0.632,0.842,7.563,13.706,2.189,3.464,-0.029
rw_v1,G477,3,11,2.764,3.395,2.23,0.273,0.818,9.365,11.686,3.309,4.556,0.255
rw_v1,G477,NA,49,2.483,4.075,1.89,0.49,0.796,7.463,14.2,2.763,4.485,0.091
rw_v1,G479,1,18,2.773,4.66,2.248,0.611,0.778,8.224,17.784,2.878,4.764,0.022
rw_v1,G479,2,18,2.33,3.062,2.034,0.556,0.944,10.22,10.349,2.828,3.548,0.137
rw_v1,G479,3,10,1.803,2.242,1.554,0.8,1,13.466,13.466,3.37,3.89,0.424
rw_v1,G479,NA,46,2.389,3.641,2.013,0.63,0.891,10.145,13.936,2.965,4.135,0.119
rw_v1,G47_FOOD,1,34,1.291,1.649,1.251,0.471,0.853,4.419,6.168,1.212,1.535,-0.074
rw_v1,G47_FOOD,2,34,1.242,2.27,1.149,0.618,0.882,5.26,8.011,1.312,2.224,-0.021
rw_v1,G47_FOOD,3,27,1.669,2.333,1.565,0.444,0.926,6.089,7.991,1.807,2.332,-0
rw_v1,G47_FOOD,NA,95,1.381,2.089,1.304,0.516,0.884,5.195,7.346,1.417,2.04,-0.024
rw_v1,G47_NFOOD_X_G473,1,35,2.11,2.948,1.659,0.457,0.743,6.033,11.419,2.049,3.035,0.029
rw_v1,G47_NFOOD_X_G473,2,35,2.483,3.693,2.028,0.571,0.771,7.553,13.891,2.309,3.469,-0.064
rw_v1,G47_NFOOD_X_G473,3,28,2.85,4.002,2.216,0.5,0.786,8.871,13.904,2.732,3.971,-0.008
rw_v1,G47_NFOOD_X_G473,NA,98,2.454,3.543,1.95,0.51,0.765,7.387,13.012,2.337,3.477,-0.019
